,movie_id,title,tags
0,19995,Avatar,in the 22nd century a parapleg marin is dispatch to the moon pandora on a uniqu mission but becom torn between follow order and protect an alien civilization culture_clash futur space_war space_coloni societi space_travel futurist romanc space alien tribe alien_planet cgi marin soldier battl love_affair anti_war power_rel mind_and_soul 3d action adventur fantasi science_fict sam_worthington zoe_saldana sigourney_weav james_cameron
1,285,Pirates of the Caribbean: At World's End,captain barbossa long believ to be dead ha come back to life and is head to the edg of the earth with will turner and elizabeth swann but noth is quit as it seems ocean drug_abus exotic_island east_india_trading_compani love_of_ones_lif traitor shipwreck strong_woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting adventur fantasi action johnny_depp orlando_bloom keira_knightley gore_verbinski
2,206647,Spectre,a cryptic messag from bond past send him on a trail to uncov a sinist organization while m battl polit forc to keep the secret servic alive bond peel back the layer of deceit to reveal the terribl truth behind spectre spi based_on_novel secret_ag sequel mi6 british_secret_servic united_kingdom action adventur crime daniel_craig christoph_waltz léa_seydoux sam_mend
3,49026,The Dark Knight Rises,follow the death of district attorney harvey dent batman assum respons for dent crime to protect the late attorney reput and is subsequ hunt by the gotham citi polic department eight year later batman encount the mysteri selina kyle and the villain bane a new terrorist leader who overwhelm gotham finest the dark knight resurfac to protect a citi that ha brand him an enemy dc_comic crime_fight terrorist secret_ident burglar hostage_drama time_bomb gotham_c vigilant coverup superhero villai tragic_hero terror destruct catwoman cat_burglar imax flood criminal_underworld batman action crime drama thriller christian_bal michael_cain gary_oldman christopher_nolan
4,49529,John Carter,john carter is a warweary former militari captain who inexplic transport to the mysteri and exot planet of barsoom mars and reluctantli becom embroil in an epic conflict it a world on the brink of collapse and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands based_on_novel mar medallion space_travel princess alien steampunk martian escap edgar_rice_burrough alien_rac superhuman_strength mars_civil sword_and_planet 19th_centuri 3d action adventur science_fict taylor_kitsch lynn_collin samantha_morton andrew_stanton
5,559,Spider-Man 3,the seemingli invinc spiderman goe up against an allnew crop of villain  includ the shapeshift sandman while spiderman superpow are alter by an alien organism hi alter ego peter parker deal with nemesi eddi brock and also get caught up in a love triangle dual_ident amnesia sandstorm love_of_ones_lif forgiv spider wretch death_of_a_friend egomania sand narcism hostil marvel_com sequel superhero reveng fantasi action adventur tobey_maguir kirsten_dunst james_franco sam_raimi
6,38757,Tangled,when the kingdom most wantedand most charmingbandit flynn rider hide out in a mysteri tower he taken hostag by rapunzel a beauti and feisti towerbound teen with 70 feet of magical golden hair flynn curiou captor who look for her ticket out of the tower where she been lock away for years strike a deal with the handsom thief and the unlik duo set off on an actionpack escapade complet with a supercop horse an overprotect chameleon and a gruff gang of pub thugs hostag magic hors fairy_tal music princess anim tower blonde_woman selfish healing_pow based_on_fairy_tal duringcreditssting healing_gift animal_sidekick anim famili zachary_levi mandy_moor donna_murphi byron_howard
7,99861,Avengers: Age of Ultron,when toni stark tri to jumpstart a dormant peacekeep program thing go awri and earth mightiest hero are put to the ultim test as the fate of the planet hang in the balance as the villain ultron emerges it is up to the aveng to stop him from enact hi terribl plans and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure marvel_com sequel superhero based_on_comic_book vision superhero_team duringcreditssting marvel_cinematic_univers 3d action adventur science_fict robert_downey_jr chris_hemsworth mark_ruffalo joss_whedon
8,767,Harry Potter and the Half-Blood Prince,as harri begin hi sixth year at hogwarts he discov an old book mark as properti of the halfblood prince and begin to learn more about lord voldemort dark past witch magic broom school_of_witchcraft wizardri apparit teenage_crush werewolf adventur fantasi famili daniel_radcliff rupert_grint emma_watson david_y
9,209112,Batman v Superman: Dawn of Justice,fear the action of a godlik super hero left unchecked gotham city own formidable forc vigilant take on metropolis most revered modernday savior while the world wrestl with what sort of hero it realli needs and with batman and superman at war with one another a new threat quickli arises put mankind in greater danger than it ever known before dc_comic vigilant superhero based_on_comic_book reveng super_pow clark_kent bruce_wayn dc_extended_univers action adventur fantasi ben_affleck henry_cavil gal_gadot zack_snyd
10,1452,Superman Returns,superman return to discov hi 5year absenc ha allow lex luthor to walk free and that those he wa closest too felt abandon and have move on luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever as well as rid himself of the man of steel saving_the_world dc_comic invulner sequel superhero based_on_comic_book kryptonit super_pow superhuman_strength lex_luthor adventur fantasi action science_fict brandon_routh kevin_spacey kate_bosworth bryan_sing
11,10764,Quantum of Solace,quantum of solac continu the adventur of jame bond after casino royale betray by vesper the woman he loved 007 fight the urg to make hi latest mission personal pursu hi determin to uncov the truth bond and m interrog mr white who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined kill undercov secret_ag british_secret_servic adventur action thriller crime daniel_craig olga_kurylenko mathieu_amalr marc_forst
12,58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow work hi way out of a blood debt with the ghostli davey jones he also attempt to avoid etern damnation witch fortune_tel bondag exotic_island monster captain card_gam east_india_trading_compani compass ship daughter pirat swashbuckl aftercreditssting adventur fantasi action johnny_depp orlando_bloom keira_knightley gore_verbinski
13,57201,The Lone Ranger,the texa ranger chase down a gang of outlaw led by butch cavendish but the gang ambush the rangers seemingli kill them all one survivor is found however by an american indian name tonto who nurs him back to health the ranger don a mask and ride a white stallion name silver team up with tonto to bring the unscrupul gang and other of that ilk to justice texa hors survivor texas_rang partner outlaw escap lawyer train lone_rang comanch the_lone_rang tonto action adventur western johnny_depp armie_hamm william_fichtn gore_verbinski
14,49521,Man of Steel,a young boy learn that he ha extraordinari power and is not of thi earth as a young man he journey to discov where he came from and what he wa sent here to do but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind saving_the_world dc_comic superhero based_on_comic_book superhuman alien_invas reboot super_pow dc_extended_univers action adventur fantasi science_fict henry_cavil amy_adam michael_shannon zack_snyd
15,2454,The Chronicles of Narnia: Prince Caspian,one year after their incred adventur in the lion the witch and the wardrobe peter edmund luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz now with the help of a color cast of new characters includ trufflehunt the badger and nikabrik the dwarf the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir based_on_novel fictional_plac brother_sister_relationship lion human_b wretch leap_in_tim matter_of_life_and_death faith uncl narnia fantasy_world adventur famili fantasi ben_barn william_moseley anna_popplewel andrew_adamson
16,24428,The Avengers,when an unexpect enemi emerg and threaten global safeti and security nick fury director of the intern peacekeep agenc known as shield find himself in need of a team to pull the world back from the brink of disaster span the globe a dare recruit effort begins new_york shield marvel_com superhero based_on_comic_book alien_invas superhero_team aftercreditssting duringcreditssting marvel_cinematic_univers science_fict action adventur robert_downey_jr chris_evan mark_ruffalo joss_whedon
17,1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow cross path with a woman from hi past and he not sure if it love  or if she a ruthless con artist who use him to find the fabl fountain of youth when she forc him aboard the queen anne revenge the ship of the formid pirat blackbeard jack find himself on an unexpect adventur in which he doesnt know who to fear more blackbeard or the woman from hi past sea captain mutini sword prime_minist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d adventur action fantasi johnny_depp penélope_cruz ian_mcshan rob_marshal
18,41154,Men in Black 3,agent j will smith and k tommi lee jones are backin time j ha seen some inexplic thing in hi 15 year with the men in black but nothing not even aliens perplex him as much as hi wry retic partner but when k life and the fate of the planet are put at stake agent j will have to travel back in time to put thing right j discov that there are secret to the univers that k never told him  secret that will reveal themselv as he team up with the young agent k josh brolin to save hi partner the agency and the futur of humankind time_travel time_machin alien fictional_government_ag seeing_the_futur changing_histori action comedi science_fict will_smith tommy_lee_jon josh_brolin barry_sonnenfeld
19,122917,The Hobbit: The Battle of the Five Armies,immedi after the event of the desol of smaug bilbo and the dwarv tri to defend erebor mountain of treasur from other who claim it the men of the ruin laketown and the elv of mirkwood meanwhil an armi of orc led by azog the defil is march on erebor fuel by the rise of the dark lord sauron dwarves elv and men must unite and the hope for middleearth fall into bilbo hands corrupt elv dwarv orc middleearth_tolkien hobbit dragon battl unlikely_friendship epic_battl sword_and_sorceri action adventur fantasi martin_freeman ian_mckellen richard_armitag peter_jackson
